id,category,type,question,answer,dummy1,dummy2,dummy3,,
341,社会（都道府県）,choice,「おいしい、うどんが食べたい！」と言って香川県ではなく「うどん県」と改名しようとした都道府県の、本来の正しい名前は？,香川県,徳島県,高知県,愛媛県,,
342,社会（都道府県）,choice,三重県は「近畿地方」と「東海地方」のどっち？学校の社会ではどっちで習うことが多い？,東海地方,近畿地方,関東地方,北海道地方,,
343,社会（都道府県）,choice,山梨県と静岡県のあいだで、昔から「うちのものだ！」とてっぺんの取り合い論争が起きている日本一高い山は何？,富士山,高尾山,エベレスト,阿蘇山,,
344,社会（都道府県）,choice,県の名前は「茨城県」ですが、この漢字の正しい読み方はどっち？,いばらきけん,いばらぎけん,いばらきし,いばらぎし,,
345,社会（都道府県）,choice,県の形が「犬（プードル）」の形にそっくりで、鼻の先が「銚子（ちょうし）市」になっている都道府県はどこ？,千葉県,東京都,神奈川県,埼玉県,,
346,社会（都道府県）,choice,県の形が「お肉の骨」や「ダンベル」のように、真ん中がキュッと細くなっている都道府県はどこ？,高知県,島根県,新潟県,神奈川県,,
347,社会（都道府県）,choice,日本で一番「島」の数が多い都道府県はどこ？（じつは900個以上の島があります）,長崎県,鹿児島県,沖縄県,北海道,,
348,社会（都道府県）,choice,鳥取県（とっとり）と島根県（しまね）の場所。日本地図で見たとき、左側（西側）にあるのはどっち？,島根県,鳥取県,どっちも右,どっちも左,,
349,社会（都道府県）,choice,県庁所在地が「津（つ）市」という、日本で一番名前が短い県庁所在地がある都道府県はどこ？,三重県,滋賀県,岐阜県,愛知県,,
350,社会（都道府県）,choice,「栃木県（とちぎ）」と「茨城県（いばらき）」の場所。日本地図で見たとき、海に面している（海岸線がある）のはどっち？,茨城県,栃木県,どっちも海がある,どっちも海がない,,
351,社会（都道府県）,choice,栃木県の県庁所在地は「宇都宮（うつのみや）市」ですが、この街が日本一の消費量を目指して競い合っている大人気のご当地グルメは何？,ギョーザ,たこ焼き,ハンバーグ,カレーライス,,
352,社会（都道府県）,choice,「埼玉（さいたま）市」の漢字について正しい罠はどれ？,県名は漢字だけど市名はひらがな,県名も市名もひらがな,県名も市名も漢字,じつはカタカナ,,
353,社会（地理）,choice,日本で一番大きい湖「琵琶湖（びわこ）」の面積は、滋賀県の面積のどれくらいを占めている？（じつは全部ではない）,約６分の１,約半分,約９割,ほぼ１００％,,
354,社会（地理）,choice,日本で一番面積が狭い（ちいさい）香川県は、一番広い北海道の何倍の大きさがあれば追いつく？,約４５倍,約２倍,約１０倍,約５００倍,,
355,社会（地理）,choice,日本で一番人口が少ない（住んでいる人が一番少ない）都道府県はどこ？,鳥取県,島根県,高知県,徳島県,,
356,社会（地理）,choice,昔の人が「この川は暴れると、坂東（関東）の太郎のように恐ろしい！」と呼んだ、日本で一番流域面積が広い川は何？,利根川,信濃川,筑後川,多摩川,,
357,社会（地理）,choice,昔の人が「筑紫（九州）の次郎」と呼んでおそれた、九州地方で一番有名な大暴れする川の名前は何？,筑後川,利根川,信濃川,荒川,,
358,社会（地理）,choice,昔の人が「四国の三郎」と呼んでおそれた、四国地方を流れる大暴れする川の名前は何？,吉野川,利根川,筑後川,隅田川,,
359,社会（地理）,choice,世界で一番深い海（マリアナ海溝）に、日本一高い富士山を沈めるとどうなる？,富士山がすっぽり沈んでもまだ深い,山のてっぺんが少し海から出る,ちょうどてっぺんが水面と同じになる,富士山のほうが高いから沈まない,,
360,社会（地理）,choice,「関東地方」の「関」ってなんのこと？,大昔にあった通行止めの門（関所）,関西の関,新幹線の駅の名前,国境の線のこと,,
361,社会（地理）,choice,世界自然遺産に選ばれた「白神山地（しらかみさんち）」に広がっている、世界最大級の貴重な森の木は何の木？,ブナ,スギ,ヒノキ,松,,
362,社会（地理）,choice,長野県や岐阜県のように、まわりをぐるっと他の県に囲まれていて「海がまったくない県」は日本にいくつある？,８つ,３つ,５つ,12,,
363,社会（地図記号）,choice,地図記号の「ヤシの木」みたいなマーク（丸から３本の毛が生えた形）が表しているのは何の場所？,果樹園（果物畑）,熱帯雨林,ただの空き地,遊園地,,
364,社会（地図記号）,choice,地図記号の「そろばんの玉」みたいなマーク（丸のなかにポチがある形）が表している、掘り出されるエネルギーの場所は何？,油田（石油）,温泉,火山,炭鉱,,
365,社会（地図記号）,choice,地図記号の「裁判所」のマークは、昔の裁判所の前に立てられていた「ある植物の看板」の形がもとになっています。何の植物？,ギザギザのハスの葉,トゲトゲのサボテン,立派な松の木,大きなひまわり,,
366,社会（地図記号）,choice,地図記号の「工場」のマークは、工場でよく使われている「ある部品」の形をデザインしたものです。何の部品？,歯車（はぐるま）,ネジ,煙突,ベルトコンベア,,
367,社会（地図記号）,choice,地図記号で、丸の中に「×」が書いてあるおなじみのマーク。これはどこの場所？,交番（警察署のハコ）,バツ印だから立ち入り禁止,ゴミ集積所,宝物が埋まっている場所,,
368,社会（生活）,choice,私たちが毎日使っている水道水。川の水をそのまま飲むとお腹をこわすので、水道局の「浄水場」である薬を使ってバイキンをやっつけています。その薬は何？,塩素（えんそ）,お砂糖,お塩,消毒用アルコール,,
369,社会（生活）,choice,お家や学校から出たゴミを燃やす「清掃工場（ごみ処理場）」。ゴミを燃やしたときに出るものすごい熱（エネルギー）は、いまは何に使われている？,電気を作ったり、温水プールを温める,空に逃がして雲を作る,宇宙にロケットで飛ばす,工場の周りをサウナにする,,
370,社会（生活）,choice,４年生の社会で習う、ゴミを減らすための合言葉「３Ｒ（スリーアール）」。ゴミになるものを減らす（Reduce）、繰り返し使う（Reuse）と、あと一つは何？,リサイクル（Recycle）,リラックス（Relax）,リフレッシュ（Refresh）,リトライ（Retry）,,
