id,category,type,question,answer,dummy1,dummy2,dummy3,explanation
241,英検1級語彙,choice,The company’s profits began to ( ) due to fierce competition.,dwindle,flourish,accumulate,soar,dwindleは『だんだん減少する』という意味です 激しい競争で利益が縮小していく文脈にぴったりです
242,英検1級語彙,choice,She is known for her ( ) personality always helping others.,benevolent,malevolent,lethargic,apathetic,benevolentは『慈悲深い』という意味です 他人を助ける優しい性格を表します 反対語はmalevolent（悪意のある）です
243,英検1級語彙,choice,The government decided to ( ) the obsolete law.,rescind,enact,endorse,ratify,rescindは法律や契約などを『廃止する』『撤回する』という意味です 時代遅れの法律をなくす文脈です
244,英検1級語彙,choice,His explanation was so ( ) that everyone understood the plan.,lucid,ambiguous,obscure,vague,lucidは『分かりやすい』『明快な』という意味です 全員が計画を理解できたという結果に繋がります
245,英検1級語彙,choice,The CEO made an ( ) decision without consulting the board.,arbitrary,deliberate,unanimous,rational,arbitraryは『独断的な』『勝手な』という意味です 取締役会に相談せず決めたという文脈に合致 your
246,英検1級語彙,choice,The disease is ( ) in this tropical region.,endemic,epidemic,pandemic,sporadic,endemicは特定の地域に定着している『風土病の』という意味です 医療系長文の超重要単語です
247,英検1級語彙,choice,He tried to ( ) his anger by taking deep breaths.,appease,provoke,aggravate,incite,appeaseは怒りや飢えなどを『 なだめる』『満たす』という意味です 深呼吸で怒りを静めようとしています
248,英検1級語彙,choice,The historic treaty was signed to ( ) the borders.,demarcate,obliterate,blur,confound,demarcateは境界などを『境界線で区切る』という意味です 条約によって国境線を明確に定める文脈です
249,英検1級語彙,choice,Her ( ) remarks during the meeting offended several colleagues.,disparaging,laudatory,complimentary,conciliatory,disparagingは『見下すような』『軽蔑的な』という意味です 同僚を怒らせてしまった原因を表します
250,英検1級語彙,choice,The inflation rate has remained ( ) for the past six months.,stagnant,volatile,fluctuating,dynamic,stagnantは経済や水などが『停滞している』という意味です 変化せず横ばいである状態を指します
251,英検1級語彙,choice,The lawyer tried to ( ) the witness’s testimony.,corroborate,refute,contradict,undermine,corroborateは証拠や証言を『確実にする』『裏付ける』という意味です 裁判・法律問題の頻出語です
252,英検1級語彙,choice,She has an ( ) talent for playing the piano.,innate,acquired,superficial,artificial,innateは『生まれ持った』『天性の』という意味です 努力で得た（acquired）の対義語になります
253,英検1級語彙,choice,The speaker used an ( ) to illustrate his complex theory.,analogy,anomaly,antagonism,anonymity,analogyは『類推』『たとえ話』という意味です 難しい理論を分かりやすく説明するために用います
254,英検1級語彙,choice,They managed to ( ) the rebel uprising quickly.,quell,instigate,foster,incite,quellは反乱や恐怖などを『鎮める』『抑え込む』という意味です 暴動をすばやく鎮圧した文脈です
255,英検1級語彙,choice,The editor made several ( ) changes to the manuscript.,superficial,profound,drastic,fundamental,superficialは『表面的な』という意味です 根本的な（fundamental）変更ではない軽い修正を指します
256,英検1級語彙,choice,His ( ) lifestyle led to severe financial difficulties.,extravagant,frugal,thrifty,prudent,extravagantは『浪費する』『贅沢な』という意味です 経済的な困難に陥ってしまった原因を表します
257,英検1級語彙,choice,The manager’s ( ) attitude made it difficult for employees to argue.,dogmatic,flexible,submissive,compliant,dogmaticは『独断的な』『教条的な』という意味です 部下が反論できないような威圧的な態度を指します
258,英検1級語彙,choice,The medication helped to ( ) the patient’s chronic pain.,alleviate,exacerbate,intensify,provoke,alleviateは痛みや問題を『軽減する』意味です 悪化させる（exacerbate）の対義語で医療頻出です
259,英検1級語彙,choice,The ruins were ( ) by centuries of dense jungle growth.,shrouded,exposed,revealed,clarified,shroudedは『覆われた』『包まれた』という意味です ジャングルに隠された遺跡の神秘的な文脈です
260,英検1級語彙,choice,Her ( ) memory allowed her to recall every single detail.,eidetic,vague,fleeting,deficient,eideticは『鮮明なイメージを思い浮かべられる』という意味で いわゆる写真記憶のような能力を指します
261,英検1級語彙,choice,The politician faced severe ( ) for his controversial statements.,backlash,endorsement,applause,sanction,backlashは世論などの『激しい反発』という意味です 政治家の失言に対するお決まりの表現です
262,英検1級語彙,choice,The dynamic environment requires a highly ( ) strategy.,malleable,rigid,obstinate,inflexible,malleableは『適応性のある』『柔軟に変形できる』意味です 変化の激しい環境に対応する戦略を指します
263,英検1級語彙,choice,He was ( ) by the unexpected turn of events.,confounded,clarified,enlightened,reassured,confoundedは『混乱した』『困惑した』という意味です 予想外の展開に頭が真っ白になっている状態です
264,英検1級語彙,choice,The economy is showing signs of a ( ) recovery.,robust,sluggish,vigorous,rapid,robustは『強健な』『力強い』という意味です 景気がしっかりと力強く回復している様子を表します
265,英検1級語彙,choice,The committee voted to ( ) the proposal until next year.,defer,expedite,accelerate,execute,deferは決定や予定を『延期する』意味です 処理を早める（expedite）の対義語としてよく出ます
266,英検1級語彙,choice,The scientist discovered an ( ) in the laboratory data.,anomaly,analogy,agreement,uniformity,anomaly is 『例外』『異常』という意味です 科学実験などのデータ異常を発見した文脈です
267,英検1級語彙,choice,The sharp drop in stock prices caused widespread ( ).,consternation,jubilation,serenity,complacency,consternationは『仰天』『大狼狽』という意味です 株価の暴落によるパニック状態を表します
268,英検1級語彙,choice,The defense attorney tried to ( ) the evidence presented. ,invalidate,corroborate,substantiate,verify,invalidateは証拠や契約を『無効にする』意味です 弁護士が提出された証拠を否定しようとする文脈です
269,英検1級語彙,choice,She is an ( ) advocate for environmental conservation.,unwavering,fickle,hesitant,indifferent,unwaveringは『揺るぎない』意味です 環境保護のためにブレずに活動する強い意志を表します
270,英検1級語彙,choice,The newly appointed director tried to ( ) the department’s image.,revamp,tarnish,demolish,abandon,revampは組織やイメージを『刷新する』『改造する』意味です 新局長が改革に乗り出す文脈です
