id,category,type,question,answer,dummy1,dummy2,dummy3
341,社会（都道府県）,choice,うどん県という名前で改名トップページまで作って讃岐うどんをアピールしたことで有名な都道府県はどこ？,香川県,徳島県,高知県,愛媛県
342,社会（都道府県）,choice,三重県は近畿地方と東海地方のどっち？学校の社会の教科書ではどっちの地方として習うことが多い？,東海地方,近畿地方,関東地方,北海道地方
343,社会（都道府県）,choice,山梨県と静岡県のあいだで大昔からうちの県のものだと言っててっぺんの取り合い論争が起きている日本一高い山は何？,富士山,高尾山,エベレスト,阿蘇山
344,社会（都道府県）,choice,いばらきなのかいばらぎなのか全国の人からよく間違えられるネバネバの納豆が日本一有名な県の正しい読み方はどっち？,いばらきけん,いばらぎけん,いばらきし,いばらぎし
345,社会（都道府県）,choice,日本地図で見ると県の形がチーバくんという犬の立ち姿にそっくりで鼻の先が銚子市になっている都道府県はどこ？,千葉県,東京都,神奈川県,埼玉県
346,社会（都道府県）,choice,日本地図で見ると県の形がお肉の骨や筋トレのダンベルのように真ん中がキュッと細長くなっている佐渡島がある都道府県はどこ？,新潟県,島根県,高知県,神奈川県
347,社会（都道府県）,choice,沖縄県や北海道を差し置いてじつは島の数が900個以上もあり日本一島だらけな都道府県はどこ？,長崎県,鹿児島県,沖縄県,北海道
348,社会（都道府県）,choice,鳥取県と島根県の場所の罠。日本地図を上から見たとき左側（西側）にある出雲大社がある方の県はどっち？,島根県,鳥取県,どっちも右,どっちも左
349,社会（都道府県）,choice,県庁所在地が津市という日本で一番名前が短くて漢字1文字・ひらがな1文字の県庁所在地がある都道府県はどこ？,三重県,滋賀県,岐阜県,愛知県
350,社会（都道府県）,choice,栃木県と茨城県の場所。日本地図で見たときじつは海に面していなくてまわりが全部陸地なのはどっち？,栃木県,茨城県,どっちも海がある,どっちも海がない
351,社会（都道府県）,choice,県庁所在地が宇都宮市である県。この街が静岡県浜松市と毎年日本一の消費量を激しく競い合っている大人気のご当地グルメは何？,ギョーザ,たこ焼き,ハンバーグ,カレーライス
352,社会（都道府県）,choice,漢字で書くさいたま市について小4の社会のテストで絶対に引っかかってはいけない有名な罠はどれ？,県名は漢字だけど市名はひらがな,県名も市名もひらがな,県名も市名も漢字,じつはカタカナ
353,社会（地理）,choice,日本で一番大きい湖である琵琶湖の面積はこれがある滋賀県の面積のどれくらいを占めている？,約６分の１,約半分,約９割,ほぼ１００％
354,社会（地理）,choice,日本で一番面積が狭い香川県は日本一広い北海道のどれくらいの大きさ？北海道に追いつくには何倍の広さが必要？,約４５分の一（約45倍必要）,約２分の一,約１０分の一,約５０0分の一
355,社会（地理）,choice,日本で一番住んでいる人（人口）が少なくて砂丘や梨がとっても有名な都道府県はどこ？,鳥取県,島根県,高知県,徳島県
356,社会（地理）,choice,大昔の人がこの川は暴れると関東の暴れん坊太郎のように恐ろしいと呼んだ日本で一番流域面積が広い坂東太郎の別名を持つ川は何？,利根川,信濃川,筑後川,多摩川
357,社会（地理）,choice,大昔の人が筑紫（九州）の次郎と呼んでおそれた九州地方を流れる大暴れすることで有名な川の名前は何？,筑後川,利根川,信濃川,荒川
358,社会（地理）,choice,大昔の人が四国の三郎と呼んでおそれた四国地方を流れる大暴れすることで有名な吉野川の別名は何？,四国三郎,坂東太郎,筑紫次郎,浪速四郎
359,社会（地理）,choice,世界で一番深い海（マリアナ海溝・深さ約1万メートル）の底に日本一高い富士山を沈めるとどうなる？,富士山がすっぽり沈んでもまだ水深が深い,山のてっぺんが少し海から出る,ちょうどてっぺんが水面と同じになる,富士山のほうが高いから沈まない
360,社会（地理）,choice,関東地方や関西地方に使われている関という漢字。これって一体なんのこと？,大昔に作られた通行止めの門（関所）,新幹線の駅の名前,国境の線のこと,関取り（お相撲さん）のこと
361,社会（地理）,choice,世界自然遺産に選ばれた青森県と秋田県にまたがる白神山地。ここに広がっている世界最大級の貴重な森の木は何？,ブナ,スギ,ヒノキ,松
362,社会（地理）,choice,長野県や岐阜県のようにまわりをぐるっと他の県に囲まれていて海に面していない（海がない）県は日本全国に全部でいくつある？,８つ,３つ,５つ,12
363,社会（地図記号）,choice,地図記号のヤシの木みたいなマーク（丸から３本の毛が生えたような形）。これがある場所には一体何が植えられている？,果樹園（リンゴやミカンなど）,熱帯雨林（ジャングル）,ただの雑草（空き地）,遊園地の木
364,社会（地図記号）,choice,地図記号のそろばんの玉や丸の中にポチがあるマーク。ここから掘り出されるお家や車の大切なエネルギー資源は何？,油田（石油）,温泉,火山,炭鉱
365,社会（地図記号）,choice,地図記号の裁判所のマーク。これは大昔の裁判所の前に立てられていた正義を表すある植物の看板の形がもとになっています。何の植物？,ギザギザのハスの葉,トゲトゲのサボテン,立派な松の木,大きなひまわり
366,社会（地図記号）,choice,地図記号の工場のマーク。これは工場でよく使われているある部品をデザインしたものです。何の部品？,歯車（はぐるま）,ネジ,煙突,ベルトコンベア
367,社会（地図記号）,choice,地図記号で丸の中に×が書いてあるおなじみのマーク。お巡りさんがいて街の安全を守ってくれるここはどこ？,交番（こうばん）,立ち入り禁止の場所,ゴミ集積所,宝物が埋まっている場所
368,社会（生活）,choice,川から汲んだ水をそのまま飲むとお腹をこわすので水道局の浄水場である薬を使ってバイキンをやっつけています。プールのような匂いがするその薬は何？,塩素（えんそ）,お砂糖,お塩,消毒用アルコール
369,社会（生活）,choice,お家や学校から出たゴミを燃やす清掃工場。ゴミを燃やしたときに出るものすごい熱（エネルギー）はいまは無駄にせず何に使われている？,電気を作ったり温水プールを温める,空に逃がして雨雲を作る,宇宙にロケットで飛ばす,工場の周りをサウナにする
370,社会（生活）,choice,ゴミを減らすための大切な合言葉３Ｒ。ゴミを減らす（Reduce）繰り返し使う（Reuse）と資源に戻してもう一度使うあと一つは何？,リサイクル（Recycle）,リラックス（Relax）,リフレッシュ（Refresh）,リトライ（Retry）
371,理科（天体）,choice,夜空に光る赤っぽい色の星と青白い色の星。じつは星としての温度（熱さ）がもの凄く高くて激しく燃えているのはどっちの色？,青白い色の星,赤っぽい色の星,どっちも同じ温度,黄色い星のほうが熱い
372,理科（天体）,choice,夜空の星たちは太陽と同じように東から西へ動いて見えます。時計の針のように1時間経つと何度ずつ動いている？（1周360度を24時間で割ってね）,約１５度ずつ,約１度ずつ,約９０度ずつ,まったく動かない
373,理科（天体）,choice,夜空の星たちが北極星を中心に時間をかけて時計と反対回りにぐるぐると回って見えるのはなぜ？,地球がコマのように自分で1日に1回回っているから,星たちが猛スピードで地球の周りを走っているから,宇宙全体が回っているから,太陽が引っ張っているから
374,理科（天体）,choice,冬の星座の王様オリオン座の真ん中に美しく並んでいる三つ星。この３つの星の並び方は時間が経つとどうなる？,絶対に変わらない（星座の形はそのまま動く）,1時間ごとにバラバラになる,朝になると合体して1つになる,季節によって四角形になる
375,理科（天体）,choice,北の空に見えるカシオペヤ座のＷの形。もし夜空を見上げる時間が遅くなるとこの形はどのように回転して見える？,逆さまになってＭの形に見える,文字が横に伸びてＶの形になる,星の数が１０個に増える,星が線になって消えてなくなる
376,理科（天体）,choice,太陽の光が一番強くて一番高くまで上がるのはお昼の12時（南中）。なのに1日のうちで気温が一番高くなるのが午後2時ごろなのはなぜ？,太陽に温められた地面の熱が空気に伝わるまでに時間がかかるから,太陽が午後２時に一番本気を出すから,お昼ごはんで日本中の人が火を使うから,時計の進み方が遅くなるから
377,理科（天体）,choice,夕方西の空に低く見える細い三日月。この三日月の光っている側のとがった２つの角はどっちの方角を向いている？,東の方角,西の方角,真上の方向,真下の方向
378,理科（天体）,choice,お月様が満月の日。太陽が西の空にちょうど沈むその瞬間満月はどの方角の空から昇ってくる？,東の空,西の空,南の空,北の空
379,理科（天体）,choice,お月様が毎日すこしずつ形を変えて三日月になったり満月になったり見えるのはなぜ？,月が太陽の光を浴びながら地球のまわりを回っているから,月が自分でライトの明るさを変えているから,地球の影が毎日月を隠しているから,宇宙人が夜中に食べているから
380,理科（天体）,choice,北の空でほとんど動かず昔の旅人が方位磁石代わりに使っていた北極星。じつは明るさは何等星？,２等星（意外と２番目の明るさグループ）,１等星（一番明るいグループ）,６等星（ギリギリ見える暗い星）,目で見えないくらい暗い
381,理科（動植物）,choice,理科の授業で育てるヘチマ。やがて黄色いお花が咲きますが大きくて長い実ができるのはどっちのお花の下側？,めしべがある「めばな」,おしべがある「おばな」,どっちの花でも実ができる,花が咲き終わったツルの途中
382,理科（動植物）,choice,ヘチマのお花にやってくるミツバチやチョウ。虫たちは甘い蜜をもらう代わりにお花のためにどんな大切なことをしてあげている？,おばなの花粉をめばなのめしべに運んでいる（受粉）,お花の周りの雑草をむしっている,花びらをきれいに掃除している,お花を敵のイモムシから守って戦っている
383,理科（動植物）,choice,カブトムシやチョウなど昆虫の足は全部で６本。この６本の足は体の３つのパーツ（頭・胸・腹）のどこから生えている？,胸（むね）,頭（あたま）,お腹（おなか）,お尻（おしり）
384,理科（動植物）,choice,植木鉢をひっくり返すと出てくるダンゴムシやクモ。理科のテストの分類で昆虫の仲間に入れてもいい？,足の数が６本ではないので昆虫ではない,エビの仲間だから昆虫でいい,虫カゴで飼えるものはすべて昆虫でいい,頭と胸とお腹に分かれているから昆虫でいい
385,理科（動植物）,choice,アブラセミやクワガタなどカチカチの殻に覆われた夏の昆虫たち。彼らの骨はどこにある？,体の外側の硬い殻が骨の代わりになっている（外骨格）,人間と同じように体の中に白い骨のガイコツがある,じつは骨も殻もまったくないブヨブヨの体,足の節（ふし）の中にだけ小さな骨がある
386,理科（動植物）,choice,春になってあたたかくなると植物の種が芽を出します。種が芽を出すために絶対に必要ないものはどれ？,太陽の光（じつは土の中だからいらない）,水,空気（酸素）,まわりのあたたかさ（温度）
387,理科（動植物）,choice,カエルの大人の心臓とオタマジャクシの子供の心臓。理科の教科書にのっている魚と同じ１心房１心室という部屋の数が少ないシンプルな作りなのはどっち？,オタマジャクシ,カエル,どっちも人間とまったく同じ部屋の数,じつは両方とも心臓がない
388,理科（動植物）,choice,秋になって寒くなるとサクラやイチョウの葉っぱが赤や黄色になって地面に落ちます。木が葉っぱを落としてしまう本当の理由は何？,冬の間無駄な水分が葉から逃げて木が凍らないようにするため,葉っぱが重くて枝が折れてしまうから,木が眠くなって力を抜いてしまうから,新しい葉っぱとジャンケンをして負けたから
389,理科（動植物）,choice,冬の間ツバメやハクチョウなどの渡り鳥が何千キロも命がけで旅をして別の国へ大移動するのはなぜ？,季節に合わせてエサがたくさんある暖かい場所へ行くため,世界旅行をして冒険するため,羽を鍛えるトレーニングのため,自分の生まれた故郷に帰って遊ぶため
390,理科（動植物）,choice,冬になるとカエルやヘビは土の中や水の底に潜って春まで眠ります。この眠っている間彼らの体の中はどうなっている？,息や心臓の動きをもの凄く遅くしてエサも食べずにじっとしている,土の中でこっそり夜中に起きてエサを食べている,ただの寝坊だから人間が起こせば元気に動く,じつは死んでしまっていて春の温かさで生き返る
391,理科（水の変化）,choice,コップに冷たいジュースと氷を入れるとコップの外側にたくさん水滴がつきます。あの水は一体どこから湧いてきた？,空気の中に隠れていた目に見えない水蒸気が冷やされて水に戻ったもの,コップに目に見えない小さな穴があいていて中身がにじみ出たもの,氷の冷たさがコップを突き抜けて凍ったもの,部屋の中のホコリがジュースの冷たさで溶けたもの
392,理科（水の変化）,choice,あたたかいお風呂に入ると天井にたくさんの水滴がついてポタッと落ちてきて冷たい思いをします。あの水滴ができる原因は何？,お湯から出た目に見えない水蒸気が冷たい天井にぶつかって水に戻ったから,お風呂の上の階の人の水道が漏れているから,天井の木が熱さで汗をかいているから,湯船のお湯がパチパチと天井まで跳ね上がったから
393,理科（水の変化）,choice,濡れた雑巾を机の上においておくと次の日にはカラカラに乾いています。雑巾についていた水分はどこへ消えた？,目に見えない水蒸気になって空気の中に飛び出していった,木製の机が雑巾の水をゴクゴクと飲み込んだから,夜の間にバイキンが水分を全部食べてくれたから,消えたのではなく雑巾の繊維の奥にギュッと凝縮している
394,理科（水の変化）,choice,水を冷凍庫に入れてどんどん冷やしていくと何度（℃）になったときに氷に変わり始める？,０度（℃）,マイナス１００度（℃）,１０度（℃）,１００度（℃）
395,理科（水の変化）,choice,水を火にかけてグラグラと沸騰させると底から泡がたくさん出てきます。あの大きな泡の中身の正体は一体なに？,水が気体に変身した「水蒸気」,最初から水に溶けていた空気,コンロの火の煙（けむり）,お湯が沸いたサインのガス
396,理科（水の変化）,choice,お湯が沸いたやかんの口からモクモク出てくる湯気。じつは口のすぐ近くの透明で見えない部分と少し離れた白く見える部分本当の気体（水蒸気）はどっち？,口のすぐ近くの透明で見えない部分,少し離れた白いモクモクの部分,どっちも気体,どっちも液体（ただの水滴）
397,理科（水の変化）,choice,川の水や海の水を太陽が毎日温めています。その結果地球上の水は最終的にどうなる？,蒸発して雲になり雨や雪になってまた海へ戻る（地球をぐるぐる循環している）,どんどん宇宙に飛び出して地球の水は毎日減り続けている,海の底にどんどん溜まって地球の地面が沈み続けている,お魚が全部吸い込んで綺麗に分解している
398,算数（数）,choice,日本の数の単位の罠。１万を１万倍すると１億になります。では１億を１万倍すると次の大きな単位は何になる？,１兆（ちょう）,１兆万,１京（けい）,１億兆
399,算数（数）,choice,大きな数を書くとき日本の数字（一・万・億・兆）は数字の０（ゼロ）が何個増えるたびに単位の名前が変わるルールになっている？,４個ずつ増えるたび（４桁ごと）,３個ずつ増えるたび（３桁ごと）,５個ずつ増えるたび（５桁ごと）,１個ずつ増えるたび
