id,category,type,question,answer,dummy1,dummy2,dummy3,explanation
641,小6社会（歴史）,choice,縄文人が縄の模様をつけた土器を使って食べていた現代の日本の主食といえば何？,まだ米は作っていない（どんぐり等）,高級魚の寿司,カレーライス,炊き立ての白米,主食のお米作り（稲作）が本格的に日本へ伝わるのは弥生時代になってからなんだよ
642,小6社会（歴史）,choice,弥生時代に始まった邪馬台国の女王である卑弥呼も食べていたとされる本格的な農業は何？,稲作（お米づくり）,イチゴ栽培,トマトのハウス栽培,ジャガイモ畑,お米が作れるようになったことで保存ができるようになり ムラ同士の争い（戦争）が始まっちゃったんだ
643,小6社会（歴史）,choice,上から見ると巨大な鍵穴のような形をしている大昔の王様や権力者たちの巨大なお墓を何という？,古墳（こふん）,ピラミッド,タワーマンション,秘密基地,一番大きな大仙陵古墳（仁徳天皇陵）は世界三大お墓の一つで 上から見ないと鍵穴の形が分からないんだよ
644,小6社会（歴史）,choice,聖徳太子が定めた家柄ではなく個人の能力や手柄がある人を役人に選ぶための冠の色を使った決まりを何という？,冠位十二階,十七条の憲法,大化の改新,武家諸法度,一番エラい位の色は紫（むらさき）！家柄が低くても優秀なら大出世できる実力主義の画期的なルールだったんだ
645,小6社会（歴史）,choice,聖徳太子が役人たちに向けて和をもって貴しとなす（仲良くすることが一番大事）と説いた決まりは何？,十七条の憲法,冠位十二階,国家公務員法,大宝律令,法律というよりは心がまえ！ケンカをしないでしっかり話し合って国を豊かにしようというメッセージだよ
646,小6社会（歴史）,choice,奈良時代に聖武天皇が国を病気や災害から守るために大仏を作らせた東大寺がある都道府県はどこ？,奈良県,京都府,大阪府,東京都,大仏さまの手のひらには人が何人も乗れるくらいデカい！銅をたくさん溶かして金ピカにコーティングされていたんだ
647,小6社会（歴史）,choice,平安時代に藤原氏が自分の娘を天皇のきさき（奥さん）にすることで権力をにぎった政治のやり方を何という？,摂関政治（せっかん）,院政,幕府政治,独裁政治,おじいちゃん（藤原道長など）が幼い天皇の代わりに政治をコントロールしたよ この世をば我が世とぞ思うの歌が有名だね
648,小6社会（歴史）,choice,源頼朝が神奈川県に開いた日本で最初の本格的な武士による政権（幕府）を何という？,鎌倉幕府,室町幕府,江戸幕府,平氏政権,いい国（1192）作ろうと言われていたけれど今は1185年（いい箱作ろう）に始まったという説が教科書の主流だよ
649,小6社会（歴史）,choice,室町時代に足利義満が京都に建てたピカピカに光る金箔だらけの有名な建物は何？,金閣（鹿苑寺）,銀閣,東京タワー,大阪城,お釈迦様のお骨をまつるための豪華な建物！3階建てで1階・2階・3階の建築スタイルが全部違うオシャレ仕様なんだ
650,小6社会（歴史）,choice,室町時代に足利義政が京都に建てたあえてハデにせず落ち着いた渋さを感じる木造の建物は何？,銀閣（慈照寺）,金閣,五重塔,通天閣,金閣とは真逆の『わびさび（地味だけど深い味わい）』の世界！東山文化を代表する渋すぎるデザインだよ
651,小6社会（歴史）,choice,戦国時代の織田信長が武田氏の最強騎馬隊を最新兵器である鉄砲のチームプレイで打ち破った有名な戦いは？,長篠の戦い（ながしの）,桶狭間の戦い,関ヶ原の戦い,本能寺の変,鉄砲は弾を込めるのに時間がかかるから 3列に並んで順番に撃つという天才的な作戦（三段撃ち）で勝ったと言われている
652,小6社会（歴史）,choice,織田信長が信頼していた家臣の明智光秀に突然裏切られて炎の中で倒れた京都の有名な事件の場所はどこ？,本能寺（ほんのうじ）,東大寺,金閣寺,清水寺,敵は本能寺にあり！という名ゼリフが有名だね 天下統一の直前で夢が消えてしまった歴史の大大ニュースだよ
653,小6社会（歴史）,choice,豊臣秀吉が日本中の一揆（いっき）を防ぐために武士以外の人から刀や一揆の武器をすべて没収した政策を何という？,刀狩（かたながり）,太閤検地,生類憐れみの令,天下統一,没収した刀は溶かして大仏様を作るための釘やネジに使ったよ という言い訳をして農民から武器を奪ったんだ
